participant_id,condition,sync_mode,trial_id,heading_norm,outcome,warning_type,alarm_video_s,alarm_video_mmss,reaction_video_s,reaction_video_mmss,rt_s,rt_ms,reaction_type,notes,qc_mismatch,alarm_sim_s,ttc_at_actual_response,ttc_lookup_status,Walker_speed,Walking_style
P16,Baseline,absolute,t4,0.05517,collision,vha,241.131,,241.295,,0.165,164.7,run,,False,7.7387,2.34,ok,normal,constant
P16,Baseline,absolute,t3,0.06086,collision,vha,381.795,,381.959,,0.164,164.3,gaze_up,,False,9.317,2.34,ok,normal,constant
P16,Baseline,absolute,t5,0.07367,collision,vha,416.441,,416.592,,0.151,150.8,gaze_up,,False,9.1264,2.417,ok,normal,constant
P17,Adaptive,absolute,t5,0.00495,collision,vha_fallback,40.358,,40.511,,0.153,153.2,run,found_on_retry_vha_fallback,False,10.2895,4.933,ok,normal,dynamic
P17,Adaptive,absolute,t1,,collision,f,212.228,,215.058,,2.83,2829.5,gaze_side,,False,3.6383,3.05,ok,normal,dynamic
P17,Adaptive,absolute,t3,,collision,f,296.808,,298.38,,1.571,1571.5,gaze_side,,False,6.5669,4.05,ok,normal,dynamic
P17,Adaptive,absolute,t2,,collision,f,382.153,,384.103,,1.95,1950.3,gaze_side,,False,5.1711,3.713,ok,normal,dynamic
P17,Adaptive,absolute,t4,0.00254,collision,vha_fallback,443.998,,444.152,,0.154,154.0,run,found_on_retry_vha_fallback,False,4.6836,4.988,ok,normal,dynamic
P17,Baseline,absolute,t3,0.04589,collision,vha,16.962,,17.116,,0.153,153.1,run,,False,7.5917,2.655,ok,normal,dynamic
P17,Baseline,absolute,t4,0.0797,collision,vha,326.003,,326.163,,0.16,159.7,run,,False,7.459,2.652,ok,normal,dynamic
P17,Baseline,absolute,t1,0.0634,collision,vha,361.917,,362.096,,0.179,178.7,run,,False,7.994,2.417,ok,normal,dynamic
P17,Baseline,absolute,t5,0.11557,collision,vha,408.789,,410.573,,1.783,1783.5,gaze_side,,False,7.895,1.65,ok,normal,dynamic
P17,Baseline,absolute,t2,0.05774,collision,vha,499.452,,499.787,,0.335,335.0,run,,False,7.2849,2.333,ok,normal,dynamic
P18,Adaptive,absolute,t3,0.0061,collision,f,14.434,,14.601,,0.167,166.8,run,,False,3.3168,4.981,ok,fast,constant
P18,Adaptive,absolute,t4,0.04081,collision,f,44.179,,44.336,,0.157,156.8,run,,False,2.8174,4.981,ok,fast,constant
P18,Adaptive,absolute,t2,0.0114,collision,f,78.52,,78.671,,0.151,151.1,run,,False,3.3984,4.917,ok,fast,constant
P18,Adaptive,absolute,t5,0.0,collision,f,178.646,,178.81,,0.165,164.5,run,,False,3.5426,4.917,ok,fast,constant
P18,Adaptive,absolute,t1,0.03929,collision,f,282.996,,283.15,,0.154,153.9,run,,False,3.7299,4.933,ok,fast,constant
P18,Baseline,absolute,t1,0.13117,collision,vha,86.097,,86.304,,0.207,206.6,stop,,False,12.3335,2.35,ok,fast,constant
P18,Baseline,absolute,t3,0.08917,collision,vha,145.551,,145.906,,0.355,354.7,stop,,False,6.2661,2.192,ok,fast,constant
P18,Baseline,absolute,t2,0.1109,collision,vha,174.434,,175.107,,0.674,673.5,stop,,False,6.0046,1.95,ok,fast,constant
P18,Baseline,absolute,t5,0.11677,collision,vha,228.679,,230.31,,1.631,1630.9,stop,,False,7.1259,1.05,ok,fast,constant
P18,Baseline,absolute,t4,0.11987,collision,vha,302.632,,302.946,,0.314,313.7,stop,,False,5.8487,2.225,ok,fast,constant
P19,Adaptive,absolute,t1,,collision,f,405.113,,405.53,,0.417,417.1,gaze_side,,False,17.1679,4.661,ok,slow,dynamic
P19,Adaptive,absolute,t4,0.20356,collision,vha,460.867,,461.213,,0.345,345.4,run,,False,17.8878,2.192,ok,slow,dynamic
P19,Adaptive,absolute,t2,0.01966,collision,vha,568.352,,568.531,,0.179,179.2,stop,,False,15.7634,2.351,ok,slow,dynamic
P19,Adaptive,absolute,t5,0.09339,collision,vha,600.652,,600.804,,0.152,152.0,run,,False,13.5259,2.4,ok,slow,dynamic
P19,Adaptive,absolute,t3,0.06121,collision,vha,653.781,,654.714,,0.933,932.7,run,,False,26.1052,1.663,ok,slow,dynamic
P19,Baseline,absolute,t2,0.06175,collision,vha,48.553,,48.827,,0.274,274.0,gaze_up,,False,26.987,2.311,ok,slow,dynamic
P19,Baseline,absolute,t3,0.05751,collision,vha,177.916,,178.51,,0.595,594.6,run,,False,13.4854,1.963,ok,slow,dynamic
P19,Baseline,absolute,t4,0.04103,collision,vha,226.356,,226.638,,0.282,281.5,run,,False,13.0004,2.241,ok,slow,dynamic
P19,Baseline,absolute,t1,0.04958,collision,vha,315.653,,315.86,,0.207,206.5,run,,False,12.8679,2.35,ok,slow,dynamic
P19,Baseline,absolute,t5,0.0514,collision,vha,414.741,,414.914,,0.172,172.2,gaze_up,,False,12.2434,2.394,ok,slow,dynamic
P20,Adaptive,absolute,t3,0.08605,collision,vha,193.232,,194.366,,1.134,1134.4,gaze_side,,False,12.582,1.679,ok,slow,dynamic
P20,Adaptive,absolute,t2,0.01282,collision,vha,316.899,,317.508,,0.608,608.1,run,,False,11.566,2.156,ok,slow,dynamic
P20,Adaptive,absolute,t4,0.15704,collision,vha,359.677,,359.835,,0.158,157.8,gaze_up,,False,11.6749,2.655,ok,slow,dynamic
